participation_id,date,zone_id,race,sexe,categorie,note_participation,concours_id,lieu_id,type_concours
P000001,2025-02-15,96644757B24539393832458,Pur-Sang Arabe,Male,Junior,75.83,C0382,L0001,Regional
P000002,2025-10-29,96644757B21316479060137,Pur-Sang Arabe,Male,Senior,70.92,C0336,L0002,National
P000003,2025-02-03,96644757B64432809888793,Anglo-Arabe,Femelle,Junior,72.34,C0089,L0003,Regional
P000004,2025-04-29,96644757B12662883146655,Pur-Sang Arabe,Femelle,Senior,68.51,C0239,L0004,Regional
P000005,2025-09-01,96644757B53703826618026,Pur-Sang Arabe,Female,Loisir,87.29,C0051,L0005,National
P000006,2025-02-17,96644757B51161748863193,Arabe,M,Junior,62.57,C0373,L0006,Qualification
P000007,2025-08-28,96644757B26550498921337,Barbe,Female,Loisir,64.72,C0382,L0007,National
P000008,2025-09-25,96644757B35891480133263,Anglo-Arabe,Female,Junior,74.39,C0287,L0008,Regional
P000009,2025-08-30,96644757B48127384361052,Anglo-Arabe,Male,Senior,73.47,C0418,L0009,Qualification
P000010,2025-04-22,96644757B23117375948520,Arabe,Female,Senior,54.39,C0218,L0010,Regional
P000011,2025-01-08,96644757B54259280648674,Arabe,M,Loisir,84.86,C0094,L0011,Regional
P000012,2025-11-20,96644757B42104761334354,Barbe,Male,Junior,72.39,C0076,L0012,Qualification
P000013,2025-04-30,96644757B25654465299878,Pur-Sang Arabe,M,Junior,60.09,C0110,L0013,National
P000014,2025-10-21,96644757B54306876372793,Arabe-Barbe,F,Elite,86.27,C0100,L0014,Qualification
P000015,2025-03-14,96644757B91342156363380,Barbe,Femelle,Elite,78.66,C0162,L0015,Qualification
P000016,2025-03-01,96644757B9799798831472,Arabe,M,Elite,55.78,C0107,L0016,National
P000017,2025-10-12,96644757B99021473747258,Barbe,Female,Junior,89.88,C0295,L0017,Regional
P000018,2025-12-10,96644757B89687162507810,Arabe-Barbe,Femelle,Senior,74.71,C0075,L0018,Regional
P000019,2025-11-11,96644757B85287588144355,Pur-Sang Arabe,Femelle,Loisir,73.53,C0311,L0019,Qualification
P000020,2025-10-02,96644757B93440982531475,Barbe,F,Elite,86.75,C0167,L0020,Qualification
P000021,2025-04-01,96644757B56432502406176,Arabe,Femelle,Elite,72.04,C0343,L0021,Regional
P000022,2025-11-30,96644757B99920267922653,Arabe-Barbe,M,Senior,68.68,C0256,L0022,Regional
P000023,2025-09-01,96644757B34372354169334,Barbe,F,Senior,68.06,C0452,L0023,Regional
P000024,2025-03-04,96644757B75888110493475,Anglo-Arabe,Male,Loisir,76.35,C0220,L0024,Regional
P000025,2025-02-17,96644757B25874170222857,Arabe,Femelle,Elite,74.48,C0148,L0025,Qualification
P000026,2025-11-14,96644757B9718685225615,Arabe-Barbe,Male,Junior,70.09,C0294,L0026,Regional
P000027,2025-04-11,96644757B92138134403299,Arabe,Femelle,Loisir,64.7,C0329,L0027,Regional
P000028,2025-10-07,96644757B53695376753874,Barbe,Male,Senior,73.4,C0220,L0028,Qualification
P000029,2025-02-20,96644757B15248572972708,Anglo-Arabe,Female,Senior,71.54,C0280,L0029,National
P000030,2025-04-13,96644757B8060198419886,Arabe-Barbe,Male,Senior,58.96,C0235,L0030,Regional
P000031,2025-04-14,96644757B52167870329218,Barbe,F,Elite,62.71,C0153,L0031,Regional
P000032,2025-04-13,96644757B46616002618727,Barbe,M,Senior,75.43,C0157,L0032,Regional
P000033,2025-09-04,96644757B30309850889145,Pur-Sang Arabe,Femelle,Senior,43.44,C0453,L0033,Regional
P000034,2025-11-30,96644757B36466177595872,Pur-Sang Arabe,Femelle,Elite,70.61,C0337,L0034,Regional
P000035,2025-11-29,96644757B63187791317705,Barbe,F,Junior,68.07,C0048,L0035,Regional
P000036,2025-09-28,96644757B698999344864,Barbe,Male,Loisir,87.47,C0481,L0036,Regional
P000037,2025-03-15,96644757B99662254658575,Arabe-Barbe,M,Senior,65.72,C0356,L0037,Regional
P000038,2025-12-17,96644757B18768670389586,Pur-Sang Arabe,Male,Senior,75.07,C0026,L0038,Regional
P000039,2025-07-17,96644757B89345886069248,Arabe-Barbe,Female,Elite,64.56,C0364,L0039,Qualification
P000040,2025-07-19,96644757B41522516415054,Arabe,F,Elite,74.09,C0295,L0040,Regional
P000041,2025-09-14,96644757B2759448404756,Arabe,Femelle,Senior,80.6,C0457,L0041,Regional
P000042,2025-10-08,96644757B80339347175881,Pur-Sang Arabe,Female,Elite,68.0,C0245,L0042,Qualification
P000043,2025-12-14,96644757B27397508075839,Arabe-Barbe,F,Loisir,78.97,C0259,L0043,Regional
P000044,2025-08-01,96644757B53936679900609,Arabe-Barbe,Male,Loisir,61.76,C0158,L0044,Regional
P000045,2025-08-11,96644757B91545835536411,Barbe,Male,Loisir,74.3,C0161,L0045,Qualification
P000046,2025-09-30,96644757B10773066300421,Arabe,Female,Senior,80.88,C0309,L0046,National
P000047,2025-04-04,96644757B40957387644980,Barbe,Female,Senior,80.21,C0414,L0047,Regional
P000048,2025-04-23,96644757B62254917052717,Arabe-Barbe,M,Senior,90.84,C0445,L0048,National
P000049,2025-08-17,96644757B81090244987905,Arabe-Barbe,M,Junior,65.4,C0385,L0049,National
P000050,2025-01-24,96644757B50122508033550,Arabe-Barbe,F,Elite,57.41,C0305,L0050,Regional
P000051,2025-04-27,96644757B63064605054668,Arabe,Female,Senior,61.92,C0250,L0051,Regional
P000052,2025-09-20,96644757B21390270390615,Barbe,M,Senior,79.5,C0170,L0052,Regional
P000053,2025-12-23,96644757B52871738396395,Barbe,Male,Senior,71.61,C0384,L0053,Qualification
P000054,2025-07-09,96644757B90056368806308,Pur-Sang Arabe,Female,Senior,71.06,C0159,L0054,Regional
