DATE_JOURNEE_CONCOURS,DATE_JOURNEE_ISO,CONCOURS,CODE_RACE_CONCOURS,DESIGNATION_JRNE_CONC,LIEU,latitude,longitude
2025-06-03,2025-06-03,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE AGADIR,AGADIR,30.4205162,-9.5838532
2025-06-05,2025-06-05,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE SAFI,CPEE DE SEBT GZOULA,32.108297,-9.084263
2025-06-09,2025-06-09,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE KHEMISSET,HARAS NATIONAL DE MEKNES,33.8984131,-5.5321582
2025-06-10,2025-06-10,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE KHENIFRA,HARAS NATIONAL DE MEKNES,33.8984131,-5.5321582
2025-06-11,2025-06-11,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE FES,HARAS NATIONAL DE MEKNES,33.8984131,-5.5321582
2025-06-14,2025-06-14,C-NATIONAL,AR,C_National MEKNES,HARAS NATIONAL DE MEKNES,33.8984131,-5.5321582
2025-06-15,2025-06-15,REGIONAL BARBE,BARBE,REGIONAL BARBE MEKNES,HARAS NATIONAL DE MEKNES,33.8984131,-5.5321582
2025-06-17,2025-06-17,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE MEKNES,HARAS NATIONAL DE MEKNES,33.8984131,-5.5321582
2025-06-19,2025-06-19,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE IFRANE,HARAS NATIONAL DE MEKNES,33.8984131,-5.5321582
2025-06-21,2025-06-21,C-NATIONAL,AR,C_National MARRAKECH,HARAS NATIONAL DE MARRAKECH,31.6258257,-7.9891608
2025-06-22,2025-06-22,REGIONAL BARBE,BARBE,REGIONAL BARBE MARRAKECH,HARAS NATIONAL DE MARRAKECH,31.6258257,-7.9891608
2025-06-24,2025-06-24,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE MARRAKECH,HARAS NATIONAL DE MARRAKECH,31.6258257,-7.9891608
2025-06-28,2025-06-28,C-NATIONAL,AR,C_National EL JADIDA,HARAS NATIONAL D EL JADIDA,33.2440832,-8.4767251
2025-06-29,2025-06-29,REGIONAL BARBE,BARBE,REGIONAL BARBE EL JADIDA,HARAS NATIONAL D EL JADIDA,33.2440832,-8.4767251
2025-06-30,2025-06-30,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE EL JADIDA,HARAS NATIONAL D EL JADIDA,33.2440832,-8.4767251
2025-07-05,2025-07-05,C-NATIONAL,AR,C_National BOUZNIKA,HARAS NATIONAL DE BOUZNIKA,33.781005,-7.1610294
2025-07-06,2025-07-06,REGIONAL BARBE,BARBE,REGIONAL BARBE BOUZNIKA,HARAS NATIONAL DE BOUZNIKA,33.781005,-7.1610294
2025-07-07,2025-07-07,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE BOUZNIKA,HARAS NATIONAL DE BOUZNIKA,33.781005,-7.1610294
2025-07-11,2025-07-11,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE BENI MELLAL,FQUIH BEN SALAH,32.4212148,-6.7470785
2025-07-12,2025-07-12,ORIGINES EGYPTIENNES (QUALIF),AR,EGYPTIAN CUP (QUALIF),HARAS NATIONAL D EL JADIDA,33.2440832,-8.4767251
2025-07-15,2025-07-15,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE JERADA,CPEE DE AIN BENI MATHAR,34.0163901,-2.025809
2025-07-17,2025-07-17,REGIONAL BARBE,BARBE,REGIONAL BARBE OUJDA,HARAS NATIONAL D OUJDA,34.677874,-1.929306
2025-07-18,2025-07-18,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE OUJDA,HARAS NATIONAL D OUJDA,34.677874,-1.929306
2025-07-20,2025-07-20,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE GUERCIF,CPEE DE GUERCIF,34.225576,-3.352345
2025-07-23,2025-07-23,REGIONAL ARABE BARBE,ARBE,REGIONAL ARABE BARBE MISSOUR,CPEE DE MISSOUR,33.047057,-3.992578
2025-07-26,2025-07-26,CHAMPIONNAT NATIONAL (QUALIF),AR,CHAMPIONNAT NATIONAL (QUALIF),HARAS NATIONAL D EL JADIDA,33.2440832,-8.4767251
