LIEU,nb_journees,nb_evenements,nb_types_concours,date_debut,date_fin,nb_chevaux_uniques,note_globale_moyenne,nb_lignes_detail,geocode_query,geocode_status,latitude,longitude
HARAS NATIONAL DE MEKNES,7,7,3,2025-06-09,2025-06-19,1063,77.16,11175,"Meknes, Morocco",ok,33.8984131,-5.5321582
HARAS NATIONAL D EL JADIDA,5,5,5,2025-06-28,2025-07-26,728,169.85,11110,"Haras National, El Jadida, Morocco",ok,33.2440832,-8.4767251
HARAS NATIONAL DE BOUZNIKA,3,3,3,2025-07-05,2025-07-07,711,80.31,7595,"Bouznika, Morocco",ok,33.781005,-7.1610294
HARAS NATIONAL DE MARRAKECH,3,3,3,2025-06-21,2025-06-24,499,84.56,5370,"Marrakech, Morocco",ok,31.6258257,-7.9891608
HARAS NATIONAL D OUJDA,2,2,2,2025-07-17,2025-07-18,359,55.22,3590,"Oujda, Morocco",ok,34.677874,-1.929306
FQUIH BEN SALAH,1,1,1,2025-07-11,2025-07-11,293,45.01,2930,"Fquih Ben Salah, Morocco",ok,32.4212148,-6.7470785
CPEE DE SEBT GZOULA,1,1,1,2025-06-05,2025-06-05,219,55.49,2190,"Sebt Gzoula, Morocco",ok,32.108297,-9.084263
CPEE DE GUERCIF,1,1,1,2025-07-20,2025-07-20,206,49.78,2060,"Guercif, Morocco",ok,34.225576,-3.352345
CPEE DE MISSOUR,1,1,1,2025-07-23,2025-07-23,159,50.91,1590,"Missour, Morocco",ok,33.047057,-3.992578
CPEE DE AIN BENI MATHAR,1,1,1,2025-07-15,2025-07-15,146,48.68,1460,"Ain Beni Mathar, Jerada Province, Morocco",ok,34.0163901,-2.025809
AGADIR,1,1,1,2025-06-03,2025-06-03,115,58.68,1150,"Agadir, Morocco",ok,30.4205162,-9.5838532
